"","Array","Site","Moose","Black Bear","White-Tailed Deer","Human","Marten","Coyote","Caribou","Wolf","Lynx","Red Squirrel","Snowshoe Hare","Rabbit","Fisher","Beaver","Red Fox","Wolverine","River Otter","Groundhog","Elk","Flying Squirrel","Weasel","Bison","Mule Deer","Grizzly Bear","Bighorn Sheep","Striped Skunk","Cougar","Marmot","Muskrat","Bobcat","Porcupine","Columbian Ground Squirrel","Badger","Raccoon","Bushy-Tailed Woodrat","Richardson's Ground Squirrel","Chipmunk","Mountain Goat","Golden-Mantled Ground Squirrel","Short-Tailed Weasel","Mink","Pika","n.days.active","x_coord","y_coord","water","shrub","grass","conifer","broadlf","mixed","snow","elev","tri","abandoned.wellsites","active.wellsites","cutblocks","roads","seismic","cultivation","transmission","railways","linear","block","RADIUS","NCELLS","AREA","MIN","MAX","RANGE","MEAN","STD","Black Bear.present","Coyote.present","Elk.present","Grizzly Bear.present","Human.present","Moose.present","White-Tailed Deer.present","Mule Deer.present","Red Squirrel.present","Marten.present","Red Fox.present","Snowshoe Hare.present","Wolverine.present","Lynx.present","Cougar.present","Bobcat.present","Flying Squirrel.present","Short-Tailed Weasel.present","Wolf.present","Porcupine.present","Striped Skunk.present","Bighorn Sheep.present","Vole.present","Badger.present","Columbian Ground Squirrel.present","Marmot.present","Raccoon.present","Bushy-Tailed Woodrat.present","Richardson's Ground Squirrel.present","Chipmunk.present","Mountain Goat.present","Golden-Mantled Ground Squirrel.present","Caribou.present","Fisher.present","Mink.present","Black Bear.absent","Coyote.absent","Elk.absent","Grizzly Bear.absent","Human.absent","Moose.absent","White-Tailed Deer.absent","Mule Deer.absent","Red Squirrel.absent","Marten.absent","Red Fox.absent","Snowshoe Hare.absent","Wolverine.absent","Lynx.absent","Cougar.absent","Bobcat.absent","Flying Squirrel.absent","Short-Tailed Weasel.absent","Wolf.absent","Porcupine.absent","Striped Skunk.absent","Bighorn Sheep.absent","Vole.absent","Badger.absent","Columbian Ground Squirrel.absent","Marmot.absent","Raccoon.absent","Bushy-Tailed Woodrat.absent","Richardson's Ground Squirrel.absent","Chipmunk.absent","Mountain Goat.absent","Golden-Mantled Ground Squirrel.absent","Caribou.absent","Fisher.absent","Mink.absent"
"1","Kananaskis","11NW",5,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,627899.999998696,5630291.00012496,0,0.127197270705093,0,0.469746806567754,0.261997206017479,0.035724554928301,0.405501090611021,1852.42378210488,26.7644799083186,0,0,0,0.019711944244807,0.012661913814781,0,0,0,0.012661913814781,0,1000,58,3113723.61999979,6749,8976,2227,7760.62068965517,526.660651967239,1,2,2,1,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,23,24,21,21,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
"2","Kananaskis","14",11,5,12,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,670722.999998275,5626480.00012493,0,0.165956632911815,0.038207031808038,0.323551954910753,0.130793493797107,0.224778185786909,0,1454.85869986031,13.0662469956481,0,0.007986900864819,0.11232672474902,0.015316943836105,0.012517607793775,0,0,0,0.012517607793775,0.120313625613839,1000,58,3113723.61999988,6896,8634,1738,7953.03448275862,525.968170189337,4,8,0,0,7,15,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,46,54,54,47,39,41,51,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
"3","Kananaskis","16",0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,621625.999998764,5610327.00012487,0.145486417914953,0.213513317559543,0,0.253390374870681,0.058759997146256,0,0.964705884456635,2269.88832199194,31.0179761585436,0,0,0,0,0.004145967378756,0,0,0,0.004145967378756,0,1000,57,3060038.73000005,1342,9332,7990,5977.10526315789,2253.00193258192,0,0,0,1,1,0,0,0,0,12,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47,46,46,47,47,47,47,35,46,41,42,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
"4","Kananaskis","22S",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,628418.999998698,5608292.00012486,0.332187986752738,0.111517755553556,0,0.407992459390179,0.109963275238078,0,0.524509817361832,1789.34358671624,22.3740024382662,0,0,0,0,0,0,0,0,0,0,1000,59,3167408.50999978,-1724,9195,10919,5827.30508474576,2871.50921904473,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"5","Kananaskis","23S",1,0,1,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,642473.999998549,5635995.00012499,0,0.017929067114292,0.000176029233778,0.043833758980636,0,0,0.600490212440491,2352.68729329947,38.4014681002583,0,0,0,0,0,0,0,0,0,0,1000,58,3113723.61999979,1722,6463,4741,2834.65517241379,941.835690182121,0,0,0,3,2,1,1,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,20,21,22,22,22,23,22,23,20,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"6","Kananaskis","27A",0,0,4,0,5,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,647908.999998512,5594609.00012478,0,0.109920419800986,0,0.686785236109621,0.164271014026585,0,0.54793028285106,2157.68054791793,28.9051688975115,0,0,0.400955752488645,0,0.036560845642089,0,0,0,0.036560845642089,0.400955752488645,1000,58,3113723.61999979,4659,8980,4321,7608.63793103448,818.035044740323,0,2,0,2,1,0,3,0,1,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,52,54,52,53,54,51,54,53,42,54,52,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
"7","Kananaskis","3",2,0,1,8,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,643347.999998534,5650536.00012505,0,0.031097170722404,0,0.901929288846715,0,0.021535623351909,0.0138888889923692,1737.69686657869,25.1839796621588,0,0,0,0.008519289054979,0.003111524669237,0,0,0,0.003111524669237,0,1000,58,3113723.61999988,6890,7922,1032,7563.74137931034,255.815164977715,0,4,0,2,10,4,1,3,5,7,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,49,53,51,43,49,52,50,48,46,53,49,53,53,50,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
"8","Kananaskis","31",1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,664996.999998353,5576373.00012468,0,0.040687298237935,0,0.942002282910957,0,0,0.0277777779847383,1793.94512861203,17.0481463701297,0,0,0.010228635362052,0.000818234169046,0.027048491537118,0,0,0,0.027048491537118,0.010228635362052,1000,59,3167408.50999978,7259,8058,799,7659.16949152542,172.913729105875,0,0,0,1,1,2,1,0,2,0,0,3,0,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,34,34,33,34,35,33,35,35,32,35,34,35,34,32,33,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
"9","Kananaskis","34",1,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,671842.999998292,5566058.00012462,0,0.14600832871836,0,0.810876149951007,0,0,0.194444451481104,1937.0608131384,29.1574550986676,0,0,0.211069947941129,0.013957678602544,0.002767268937857,0,0,0,0.002767268937857,0.211069947941129,1000,62,3328463.17999987,6398,7764,1366,7053.64516129032,282.110313402748,0,2,0,2,0,1,2,2,2,4,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,34,32,34,33,32,32,32,30,34,32,31,34,34,34,34,34,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
"10","Kananaskis","4",4,2,1,2,0,7,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,649199.999998475,5650202.00012505,0,0.060049700356558,0.09615657475092,0.722128287115429,0,0,0.0694444449618459,1749.4070686121,26.0736178072116,0,0,0,0.016984131654131,0,0,0,0,0,0,1000,58,3113723.61999979,5855,7877,2022,7304.96551724137,370.6712441298,3,6,0,0,4,6,1,7,5,6,14,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,48,54,54,50,48,53,47,49,48,40,54,54,54,53,54,51,54,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
"11","Kananaskis","8",0,6,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,184,654931.999998423,5641373.00012501,0,0.03144775276979,0.107290206043529,0.578936913740963,0,0.007642844264046,0.0555555559694767,1698.77949916295,40.7337935190352,0.016557340290488,0.006384798030014,0,0.013758157293632,0.005967546024057,0,0,0,0.005967546024057,0.022942138320502,1000,58,3113723.61999979,3953,7519,3566,6408.56896551724,967.428890945927,7,11,0,0,4,0,2,12,3,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,43,54,54,50,54,52,42,51,54,53,54,54,54,53,53,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
"12","Kananaskis","9",2,1,6,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,665315.999998323,5636901.00012498,0,0.336774828000182,0.077820355688804,0.395892994263279,0.018822360115993,0.06403112642406,0.0185185186564922,1508.01337396064,11.3412925008792,0,0,0.372027266104122,0.019955297851448,0.010499832516906,0,0,0,0.010499832516906,0.372027266104122,1000,58,3113723.61999988,6954,8283,1329,7806.08620689655,319.131865755808,1,11,0,0,6,3,10,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,42,53,53,47,50,43,52,53,52,53,52,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
"13","Kananaskis","Cell 10 2011/12",3,1,0,5,3,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,618195.999998792,5627432.00012495,0.073050573608593,0.113969295791456,0,0.722095033878397,0.033039733827701,0.017824995509399,0.866625815629959,2027.50699439416,29.0092634054331,0,0,0.278475729277902,0,0.017491685323885,0,0,0,0.017491685323885,0.278475729277902,1000,59,3167408.51000005,3494,8673,5179,7420.2033898305,980.728383408175,1,1,1,6,13,3,0,3,1,17,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,118,113,106,116,119,116,118,102,119,112,115,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
"14","Kananaskis","Cell 10 NE 2011/12",3,0,0,10,8,0,0,0,1,5,8,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,620495.999998769,5627994.00012496,0.000960904972374,0.001253843632182,0,0.940584466266059,0,0,0.46977125108242,2004.76018621983,15.9114783849472,0,0,0.645986156213231,0.008675518997955,0.036171457574779,0,0,0,0.036171457574779,0.645986156213231,1000,58,3113723.62000005,6547,8318,1771,7783.58620689655,386.905451984417,0,0,0,5,20,3,0,1,9,7,0,17,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,101,96,81,98,101,100,92,94,101,84,101,100,100,101,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
"15","Kananaskis","Cell 10 SW 2011/12",2,1,0,9,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,316,616874.999998805,5626058.00012495,0.027972640468042,0.142110274373635,0,0.612193183551172,0.037063273067675,0.01215511516552,0.931372535228729,2066.14014297877,29.1979342240554,0,0,0.060298508782408,0,0.004188996726359,0,0,0,0.004188996726359,0.060298508782408,1000,56,3006353.84000005,3509,8920,5411,7235.10714285714,1453.3797640398,1,0,0,6,15,3,0,0,1,9,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,99,99,93,84,96,99,99,98,90,99,95,99,99,99,99,98,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"16","Kananaskis","Cell 11 SW 2013",0,2,77,8,0,11,0,1,0,3,2,0,0,0,0,0,0,0,14,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,631078.999998659,5642024.00012502,4.08091944e-07,0.235825232171668,0.177739284544415,0.277378967859461,0,0,0,1456.96929205499,4.50109809311257,0,0,0,0.025132640073067,0.007657077662951,0,0.024416616364481,0,0.032073694027432,0,1000,58,3113723.61999979,5576,8211,2635,7203.15517241379,699.455793425144,2,12,14,1,14,0,26,3,7,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,34,32,45,32,46,20,43,39,46,46,44,46,46,46,46,43,46,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
"17","Kananaskis","Cell 12 2013",20,0,23,13,0,29,0,0,0,3,5,0,0,0,0,0,0,0,0,2,0,0,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,646430.999998507,5642517.00012502,0,0.101481819645958,0.023931996348066,0.766768580950337,0.046550188211392,0,0.0972222229465842,1770.12311595659,14.2107978649078,0,0,0.029884218120212,0.012314986300017,0.004603994353884,0,0,0,0.004603994353884,0.029884218120212,1000,60,3221093.39999978,5167,7988,2821,7231.35,654.074940278247,0,21,0,2,15,14,18,24,6,0,0,9,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,109,130,128,115,116,112,106,124,130,130,121,130,130,129,130,126,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
"18","Kananaskis","Cell 13 2013",0,1,0,14,0,18,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,654489.999998428,5641421.00012501,0,0.025126901697228,0.114820335105314,0.583786415008569,0,0.007642844264043,0.0972222229465842,1710.16396312225,39.892176652566,0.016557320087876,0.006384798030012,0,0.011674689235032,0.004068670467972,0,0,0,0.004068670467972,0.022942118117888,1000,58,3113723.61999979,3917,7519,3602,6349.06896551724,1136.75683358053,1,26,0,1,15,1,0,6,5,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,37,63,62,48,62,63,57,58,62,63,60,63,63,63,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
"19","Kananaskis","Cell 15 2013",4,5,18,5,0,7,0,0,0,1,4,0,0,0,0,0,0,0,3,1,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,674559.999998229,5642460.000125,0.010577937993754,0.010758630379693,0.111820485349717,0.264805560509289,0.137617482138145,0.248216054118187,0,1352.01010556764,4.58713637726216,0,0.006919468339044,0.0006829755612,0.023169027296052,0.01925310152852,0.102516718277863,0,0,0.01925310152852,0.110119162178107,1000,60,3221093.39999978,6900,8121,1221,7666.51666666666,238.705501379614,5,10,3,2,5,4,17,4,4,0,0,6,0,0,4,1,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,94,101,102,99,100,87,100,100,104,104,98,104,104,100,103,100,104,103,104,102,104,104,104,104,104,104,104,104,104,104,104,104,104,104
"20","Kananaskis","Cell 16 2013",3,1,5,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,681635.99999816,5640470.00012499,0.034441364801979,0.003831590849932,0.141913074326026,0.273902211852566,0.121680423832639,0.058270126504762,0,1261.29133113581,9.50957642576565,0.003312160058509,0,0.113917494167582,0.014661954167209,0.019783061063654,0.206676359450397,0,0,0.019783061063654,0.323906013676488,1000,59,3167408.50999988,7014,8737,1723,8055.10169491525,358.055847121849,1,1,1,0,5,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,31,26,28,25,27,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"21","Kananaskis","Cell 18 2011/12",3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,641922.999998562,5619045.0001249,0,0.021313611339122,0,0.724971723865147,0.03676565770536,0,0.601851850748062,2227.66936560522,25.4428353611427,0,0,0,0.005377714461937,0,0,0,0,0,0,1000,62,3328463.17999987,1715,9982,8267,7276.95161290322,1857.30765450022,0,0,0,0,2,4,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54,54,52,50,54,52,54,50,54,51,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
"22","Kananaskis","Cell 18 NE 2013",2,2,5,13,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,628181.99999869,5636263.00012499,0,0.249357171028992,0,0.539198668253848,0.075216599176905,0.075165674267909,0.0138888889923692,1600.81046433222,26.7464198036799,0,0,0,0.021775553023488,0.008965841753651,0,0.037246284022212,0,0.046212125775863,0,1000,58,3113723.61999979,3560,8463,4903,7281.43103448275,871.557763374824,2,1,3,3,18,2,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,58,59,57,57,42,58,55,60,60,60,60,57,60,60,59,60,60,60,60,60,60,56,60,60,60,60,60,60,60,60,60,60,60,60,60
"23","Kananaskis","Cell 18 SSE 2013",9,6,2,6,0,1,0,1,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,628241.999998691,5629823.00012496,0,0.117335814215335,0,0.648404158072938,0.086104955309089,0.052004269906682,0.179330066777766,1757.17505270337,25.0538659474206,0,0,0,0.018545520619061,0.011819463099051,0,0,0,0.011819463099051,0,1000,60,3221093.39999978,6662,8699,2037,7546.38333333333,466.496412693127,6,1,2,8,12,8,3,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,57,56,50,46,50,55,58,57,58,58,56,58,58,57,58,58,58,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
"24","Kananaskis","Cell 2 2011/12",0,1,0,6,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,634267.999998625,5647155.00012504,0,0.062830039350959,0.024457550771763,0.822798783760673,0,0,0.0277777779847383,1663.75553990618,40.235821929159,0,0,0,0,0,0,0,0,0,0,1000,60,3221093.39999988,3595,8174,4579,6815.31666666666,1075.56235665607,1,5,0,0,11,0,2,2,7,11,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,64,69,69,58,69,67,67,62,58,65,69,68,69,69,69,64,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
"25","Kananaskis","Cell 22 2013",2,0,21,9,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,665929.999998317,5635674.00012497,0,0.223901863244554,0.190092878396561,0.416234225048184,0,0.018439053208861,0,1470.0265029516,9.55879270113432,0,0.005192156909545,0.461703368796976,0.025036888663592,0.014220201064902,0.005496284154006,0,0,0.014220201064902,0.472391809860527,1000,59,3167408.50999988,6954,8063,1109,7574.11864406779,327.101191244268,0,17,0,0,10,4,22,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,43,60,60,50,56,38,54,53,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
"26","Kananaskis","Cell 3 NE 2013",0,13,8,7,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,214,637622.999998589,5655689.00012508,0.206610058330599,0.063952650731239,0.039164456647285,0.356481214507144,0.068713964777472,0.09224406289215,0,1376.71144166977,7.27281121148003,0,0,0.158334763454967,0.03223524842495,0.012611645196935,0,0.058763189159276,0,0.071374834356211,0.158334763454967,1000,58,3113723.61999979,382,8345,7963,7094.39655172413,1340.72918836722,12,4,2,0,15,0,9,3,10,0,0,2,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,55,57,59,44,59,50,56,49,59,59,57,59,59,55,57,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
